Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
56,2.0,0.0,0.0,328.0,16.0,16.0,1200.0,0.0,19.803000000000008,0.0,0.0,272.4976541996002,,,,,,,,,,,,,,,,,,,,,3.2241266330209717,2.0505442735458694,5.801448460027437,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,368.0,17.0,40.0,1240.0,0.0,53.90400000000001,0.0,0.0,276.64410638809204,,,,,,,,,,,,,,,,,,,,,3.8365828436702274,1.7206966946166637,5.968250251525781,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,400.0,18.0,32.0,1272.0,0.0,51.303,0.0,0.0,280.02639055252075,,,,,,,,,,,,,,,,,,,,,4.5517351229478145,1.9470256269004598,5.983584949665354,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,418.0,19.0,18.0,1290.0,0.0,21.80400000000001,0.0,0.0,282.12305760383606,,,,,,,,,,,,,,,,,,,,,3.194126967985449,2.168721641214158,5.863766172639935,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,443.0,20.0,25.0,1315.0,0.0,33.30499999999999,0.0,0.0,284.6243851184845,,,,,,,,,,,,,,,,,,,,,3.6713143261705126,2.276235458342936,5.973372869437517,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,20.0,1.0,20.0,1335.0,0.0,27.803000000000008,0.0,0.0,359.9240097999573,,,,,,,,,,,,,,,,,,,,,3.7669547539282364,2.1266332324689405,5.951316730603081,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,80.0,2.0,60.0,1395.0,0.0,86.80799999999996,0.0,0.0,365.9216318130493,,,,,,,,,,,,,,,,,,,,,4.199200989759697,2.0692747787824657,5.987997378494938,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,96.0,3.0,16.0,1411.0,0.0,20.703000000000007,0.0,0.0,367.703861951828,,,,,,,,,,,,,,,,,,,,,3.388062358016509,2.1217975386726375,5.855393138092546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,117.0,4.0,21.0,1432.0,0.0,32.202,0.0,0.0,369.933602809906,,,,,,,,,,,,,,,,,,,,,4.214613182138125,1.8952665177980903,5.953483078761625,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,141.0,5.0,24.0,1456.0,0.0,32.403999999999996,0.0,0.0,372.54787707328796,,,,,,,,,,,,,,,,,,,,,3.712251711047086,2.1605013147604075,5.9667556841674205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,164.0,6.0,23.0,1479.0,0.0,31.30400000000001,0.0,0.0,374.944673538208,,,,,,,,,,,,,,,,,,,,,3.7305042602119776,2.1937642210144737,5.966025198738367,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,181.0,7.0,17.0,1496.0,0.0,20.704000000000008,0.0,0.0,376.7882835865021,,,,,,,,,,,,,,,,,,,,,3.1889405148640297,2.2072056142391983,5.8553953877346805,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
